id,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,label
5628,2,13,4,3,3,4,1,6,2,11,0
5629,1,5,4,6,1,9,4,11,2,1,0
5630,1,7,2,6,2,13,2,4,4,9,0
5631,4,6,3,10,4,1,2,7,3,12,0
5632,3,1,4,5,1,12,2,7,4,6,0
5633,3,2,1,8,1,9,4,2,1,3,1
5634,1,4,4,6,2,5,4,11,3,4,1
5635,3,12,3,6,2,8,3,1,2,13,0
5636,4,3,4,11,2,11,2,6,2,1,1
5637,2,3,4,13,1,13,1,5,2,6,1
5638,1,7,2,4,2,1,1,1,2,11,1
5639,1,10,3,2,2,4,3,10,3,9,1
5640,1,13,4,3,4,6,2,8,3,3,1
5641,1,8,1,11,2,10,4,2,1,4,0
5642,1,1,4,7,2,1,4,12,2,10,1
5643,1,8,2,9,4,4,1,11,2,6,0
5644,2,4,3,6,1,5,2,2,3,7,0
5645,4,7,4,10,3,1,4,1,3,4,1
5646,4,1,1,5,1,9,4,2,1,12,0
5647,2,5,1,10,2,10,3,3,1,5,2
5648,2,5,1,8,2,10,1,12,3,8,1
5649,3,9,1,5,2,13,3,6,4,5,1
5650,3,13,3,6,1,9,2,13,3,10,1
5651,3,7,4,8,3,8,2,10,3,10,2
5652,1,7,1,9,2,9,4,1,3,12,1
5653,3,5,2,13,4,9,3,12,3,3,0
5654,2,5,4,2,3,7,4,10,4,12,0
5655,1,3,3,6,1,10,2,4,2,2,0
5656,3,1,3,9,1,4,1,6,4,4,1
5657,4,1,1,1,2,5,2,10,4,5,2
5658,4,4,2,8,2,11,3,3,1,10,0
5659,1,2,1,4,2,1,1,12,4,8,0
5660,1,2,2,2,1,4,3,1,4,6,1
5661,1,5,1,4,2,11,2,4,2,13,1
5662,2,11,2,6,3,11,4,5,3,13,1
5663,2,6,4,4,4,8,4,2,2,11,0
5664,2,3,1,6,1,1,1,3,1,8,1
5665,1,5,2,11,2,7,1,9,4,6,0
5666,4,11,3,6,2,8,4,5,3,11,1
5667,1,12,1,5,2,13,2,4,4,11,0
5668,1,13,1,11,3,11,3,13,3,6,2
5669,1,11,2,12,2,13,1,9,1,10,4
5670,2,11,1,3,3,8,3,4,1,8,1
5671,2,8,3,13,4,6,1,3,1,10,0
5672,4,11,4,10,3,2,4,9,3,1,0
5673,3,2,1,4,1,7,2,11,2,3,0
5674,2,6,3,11,2,3,4,10,4,2,0
5675,2,2,3,10,4,9,1,6,1,3,0
5676,2,3,3,10,1,2,1,10,2,9,1
5677,3,2,2,13,4,7,3,1,4,2,1
5678,3,8,4,11,2,1,2,3,4,10,0
5679,2,1,3,3,1,13,2,13,1,11,1
5680,4,1,4,12,1,5,2,4,4,6,0
5681,4,8,1,7,1,4,1,10,2,6,0
5682,3,13,1,13,4,12,1,12,2,1,2
5683,4,13,2,10,3,4,3,3,2,6,0
5684,4,12,2,13,2,11,1,9,4,6,0
5685,4,9,2,2,2,12,4,7,3,12,1
5686,1,1,3,12,4,10,2,3,3,3,1
5687,1,1,3,7,1,10,4,5,1,5,1
5688,1,11,1,10,3,3,4,2,2,9,0
5689,2,13,2,10,3,8,3,5,3,7,0
5690,4,9,2,5,1,1,2,12,2,9,1
5691,2,8,2,5,1,9,4,3,1,1,0
5692,3,1,3,3,2,3,3,13,3,10,1
5693,2,1,4,9,2,11,3,12,3,4,0
5694,3,5,2,5,4,11,2,9,4,3,1
5695,4,2,1,12,4,5,3,7,2,2,1
5696,3,2,4,2,2,3,3,13,4,13,2
5697,4,9,1,2,1,11,2,3,3,8,0
5698,4,9,4,7,3,10,4,10,3,13,1
5699,3,1,3,9,1,9,3,2,4,7,1
5700,3,11,4,1,4,4,4,12,2,6,0
5701,2,2,1,6,1,4,2,12,3,2,1
5702,3,3,1,9,4,7,3,1,3,11,0
5703,1,5,3,9,4,6,3,2,1,8,0
5704,1,7,1,13,1,12,3,6,2,1,0
5705,4,13,2,8,1,13,2,10,3,8,2
5706,4,6,1,4,3,2,1,6,3,3,1
5707,1,5,2,9,2,4,1,3,4,8,0
5708,2,12,2,7,3,1,3,3,1,5,0
5709,3,5,1,6,2,8,1,9,1,5,1
5710,4,5,4,8,1,12,1,5,2,11,1
5711,1,9,1,10,3,7,4,5,2,1,0
5712,2,9,2,13,3,6,2,3,3,3,1
5713,4,3,2,11,4,5,4,6,2,3,1
5714,2,13,1,3,1,9,2,4,2,11,0
5715,3,8,3,7,4,12,4,2,1,12,1
5716,1,3,1,10,2,12,1,6,4,7,0
5717,3,11,3,1,1,9,1,5,2,9,1
5718,2,8,3,13,1,2,4,8,3,1,1
5719,2,10,3,1,4,3,4,12,2,4,0
5720,2,8,2,9,2,6,4,7,3,12,0
5721,4,2,1,3,4,5,4,4,4,11,0
5722,1,6,3,11,2,3,2,12,3,3,1
5723,2,10,1,10,4,2,2,11,3,13,1
5724,4,10,4,3,1,4,1,7,3,1,0
5725,2,2,3,5,4,5,3,3,4,7,1
5726,1,3,4,8,3,11,4,10,4,3,1
5727,2,1,4,6,1,6,3,7,2,9,1
5728,4,7,1,6,3,8,2,8,2,2,1
5729,1,6,4,12,3,8,2,3,2,6,1
5730,2,10,2,13,1,2,1,3,3,1,0
5731,3,11,1,5,2,7,4,10,2,5,1
5732,2,5,3,1,2,8,3,10,2,2,0
5733,3,3,1,8,3,5,3,2,2,8,1
5734,1,7,4,2,4,9,2,3,1,4,0
5735,3,2,4,2,1,2,1,13,2,13,6
5736,1,10,3,11,4,7,3,3,1,7,1
5737,1,4,4,9,4,7,4,2,1,8,0
5738,4,4,2,9,4,2,1,2,2,3,1
5739,4,12,3,6,1,11,4,1,4,2,0
5740,2,3,3,3,1,9,2,5,4,13,1
5741,3,8,1,12,4,1,4,11,4,7,0
5742,2,12,4,1,3,11,2,7,1,13,0
5743,3,10,2,10,3,9,2,3,1,5,1
5744,3,8,4,6,3,11,1,2,2,2,1
5745,3,3,4,1,1,4,4,13,1,7,0
5746,2,2,2,5,4,12,1,10,1,2,1
5747,2,13,1,2,3,5,1,9,2,3,0
5748,2,9,1,11,3,2,2,1,3,11,1
5749,2,5,2,1,1,4,2,13,2,10,0
5750,2,3,4,1,3,3,1,4,1,9,1
5751,3,7,3,9,4,10,2,9,2,4,1
5752,3,10,4,2,2,9,1,10,4,4,1
5753,4,2,3,7,3,12,4,10,3,11,0
5754,1,1,4,8,1,10,2,1,4,3,1
5755,4,4,4,3,3,5,3,12,2,11,0
5756,1,12,3,5,1,6,2,9,2,4,0
5757,3,8,4,9,1,13,1,4,4,3,0
5758,3,5,1,7,4,6,4,13,1,9,0
5759,4,9,2,13,3,1,3,4,3,3,0
5760,2,8,1,9,1,5,4,6,3,6,1
5761,1,1,3,1,2,6,3,12,3,10,1
5762,3,9,1,12,1,4,2,5,3,10,0
5763,2,13,3,6,3,10,4,8,2,8,1
5764,1,8,3,6,1,11,4,4,3,3,0
5765,4,2,2,12,3,3,1,7,2,9,0
5766,1,3,3,1,1,7,1,6,4,9,0
5767,4,12,2,13,2,5,2,6,3,13,1
5768,4,8,1,12,1,9,1,5,4,2,0
5769,3,2,2,13,3,6,1,4,3,4,1
5770,1,8,2,2,4,8,3,4,4,5,1
5771,4,5,3,13,2,13,3,8,3,10,1
5772,1,10,2,3,1,1,1,6,3,11,0
5773,1,3,1,6,3,7,1,9,4,7,1
5774,4,4,4,11,3,13,1,12,3,2,0
5775,2,12,3,6,4,7,4,8,2,1,0
5776,2,1,4,13,4,7,2,6,3,12,0
5777,3,9,4,4,3,8,2,4,4,3,1
5778,1,4,2,11,3,5,3,10,4,12,0
5779,4,12,3,1,4,6,2,8,3,6,1
5780,1,5,4,10,4,12,4,9,3,8,0
5781,4,13,2,2,1,11,1,3,4,3,1
5782,3,10,1,9,3,4,4,9,2,11,1
5783,4,6,2,12,3,10,1,1,4,2,0
5784,1,4,3,5,1,13,2,13,3,6,1
5785,4,8,1,9,3,11,1,3,3,7,0
5786,4,5,2,10,2,7,3,12,3,3,0
5787,3,13,4,6,1,1,4,12,3,11,0
5788,1,11,3,5,2,10,4,7,2,5,1
5789,3,4,2,10,2,8,2,6,1,10,1
5790,1,3,3,11,3,8,4,13,4,4,0
5791,4,11,4,7,1,7,2,11,4,13,2
5792,3,4,4,1,2,11,4,13,2,10,0
5793,1,12,4,13,2,7,2,11,1,7,1
5794,2,7,1,2,2,11,1,11,2,5,1
5795,1,5,4,4,2,13,2,12,1,13,1
5796,1,4,3,2,1,7,4,12,3,10,0
5797,3,2,3,11,3,4,3,9,1,13,0
5798,2,6,3,1,1,13,4,7,3,4,0
5799,3,13,1,10,1,5,2,6,4,8,0
5800,2,12,2,11,2,9,3,2,3,6,0
5801,2,11,1,11,3,1,1,8,2,13,1
5802,2,9,1,5,3,5,4,3,1,6,1
5803,1,11,3,9,4,11,4,6,3,5,1
5804,2,8,4,13,1,2,4,9,1,11,0
5805,4,10,3,1,3,10,4,2,4,8,1
5806,2,4,2,9,4,9,2,10,1,10,2
5807,1,12,4,4,4,11,3,4,4,5,1
5808,2,9,3,6,1,13,1,12,2,7,0
5809,4,8,3,4,4,12,4,11,2,1,0
5810,2,13,4,5,1,2,4,2,2,5,2
5811,1,3,2,10,1,10,4,11,2,8,1
5812,4,9,4,8,2,2,1,2,3,6,1
5813,3,7,4,10,3,11,4,4,1,2,0
5814,3,8,4,7,3,1,1,13,1,6,0
5815,2,10,2,1,3,2,4,1,4,11,1
5816,4,11,4,3,4,7,2,13,4,5,0
5817,4,7,4,1,3,6,4,5,1,5,1
5818,3,2,4,7,3,6,1,11,2,2,1
5819,4,11,2,6,1,4,1,2,1,1,0
5820,3,7,4,6,1,9,2,8,2,7,1
5821,1,4,2,6,1,3,3,6,1,9,1
5822,2,10,4,4,4,3,1,8,3,1,0
5823,3,3,3,10,2,4,2,11,2,13,0
5824,2,2,2,13,1,10,4,2,2,7,1
5825,3,8,4,13,2,6,4,3,4,11,0
5826,1,2,4,2,3,9,2,4,3,8,1
5827,1,13,4,2,4,13,2,8,4,9,1
5828,4,10,4,13,1,9,2,1,3,8,0
5829,1,10,4,13,2,1,3,5,4,11,0
5830,1,12,2,12,2,11,2,8,4,12,3
5831,1,9,1,3,4,6,4,1,2,12,0
5832,3,2,4,5,3,7,1,5,4,1,1
5833,1,10,1,13,2,1,2,7,1,11,0
5834,4,6,2,11,2,10,1,5,1,9,0
5835,1,2,3,4,1,3,1,8,3,5,0
5836,1,8,2,6,3,1,2,10,1,1,1
5837,1,11,1,2,4,1,4,10,2,2,1
5838,3,4,3,2,1,2,2,12,3,12,2
5839,3,9,1,11,4,7,3,8,2,3,0
5840,3,10,1,11,3,3,3,5,3,2,0
5841,2,1,1,9,4,8,2,11,1,10,0
5842,4,5,4,7,2,3,4,6,2,8,0
5843,2,1,2,12,3,4,4,2,3,11,0
5844,3,11,1,3,1,7,4,6,3,9,0
5845,4,12,2,1,3,9,3,7,3,11,0
5846,2,10,2,5,2,3,4,3,2,8,1
5847,3,13,1,10,1,6,3,12,3,8,0
5848,1,7,2,4,1,13,1,10,3,1,0
5849,3,11,3,13,4,10,2,1,2,4,0
5850,3,8,3,13,2,9,1,10,3,9,1
5851,3,12,4,3,3,8,2,12,4,6,1
5852,1,8,3,12,3,6,2,4,3,7,0
5853,4,13,2,10,4,8,3,5,4,11,0
5854,4,10,1,9,2,8,2,10,3,4,1
5855,4,11,2,6,4,1,4,7,2,7,1
5856,4,4,3,11,2,6,1,6,3,7,1
5857,2,13,1,10,3,2,3,4,1,12,0
5858,3,12,2,9,1,9,3,11,4,12,2
5859,1,11,4,7,1,8,4,12,3,6,0
5860,3,1,1,1,3,8,2,2,4,7,1
5861,4,4,1,12,1,13,1,9,4,3,0
5862,4,13,3,7,2,3,1,11,4,1,0
5863,3,7,1,12,2,11,2,4,3,6,0
5864,1,5,3,3,2,9,1,12,3,8,0
5865,2,5,4,9,1,1,2,6,4,6,1
5866,2,8,4,10,1,2,1,9,2,1,0
5867,4,6,1,8,1,3,4,3,3,4,1
5868,2,13,2,3,3,13,3,11,4,11,2
5869,3,5,4,2,3,2,2,11,2,7,1
5870,2,6,2,7,2,10,4,5,1,12,0
5871,3,3,3,13,4,12,2,13,4,2,1
5872,1,5,1,4,2,1,2,10,3,10,1
5873,1,7,4,6,4,7,3,9,4,11,1
5874,4,13,1,3,2,4,3,4,3,3,2
5875,3,8,4,2,4,6,3,2,4,1,1
5876,1,8,2,12,1,12,2,4,2,11,1
5877,3,4,4,12,2,1,2,2,4,3,0
5878,2,13,3,6,1,9,4,10,1,12,0
5879,1,8,2,4,2,11,2,2,2,1,0
5880,4,5,3,8,3,11,2,2,1,1,0
5881,3,7,2,12,3,2,4,3,2,4,0
5882,2,9,3,8,2,4,3,2,2,13,0
5883,4,5,4,13,3,1,3,4,3,13,1
5884,2,2,4,1,1,12,3,4,3,2,1
5885,4,7,1,12,4,3,2,5,2,4,0
5886,4,8,1,2,4,9,3,3,4,11,0
5887,2,11,2,8,2,5,1,11,3,4,1
5888,4,6,3,8,3,13,1,4,3,2,0
5889,1,12,2,10,3,2,4,4,4,1,0
5890,1,11,4,10,2,3,3,6,4,1,0
5891,4,3,4,12,3,9,1,13,3,2,0
5892,2,10,4,7,4,3,1,9,1,5,0
5893,2,7,4,10,1,11,3,10,2,8,1
5894,1,9,4,2,4,3,3,8,1,12,0
5895,3,1,4,1,1,1,4,10,4,4,3
5896,3,3,3,4,1,3,2,1,1,11,1
5897,4,6,4,2,2,13,1,12,2,7,0
5898,3,2,1,6,4,1,4,10,3,12,0
5899,4,1,2,11,1,2,4,12,3,13,0
5900,2,12,1,6,2,4,2,11,2,1,0
5901,3,2,3,4,4,10,2,1,1,8,0
5902,3,4,2,7,3,13,3,5,3,6,0
5903,3,9,2,3,4,3,3,8,4,7,1
5904,1,1,2,1,2,7,3,11,4,6,1
5905,1,5,1,4,4,7,1,2,4,3,0
5906,3,5,4,6,4,2,3,11,2,4,0
5907,3,13,4,8,3,11,3,8,4,3,1
5908,4,6,3,6,3,2,4,1,4,5,1
5909,3,11,2,8,3,12,2,6,3,1,0
5910,2,7,1,7,4,4,4,8,1,13,1
5911,1,4,3,9,4,2,4,7,3,6,0
5912,3,11,1,12,2,11,4,3,1,4,1
5913,1,11,3,6,4,10,1,9,4,11,1
5914,3,10,1,11,3,9,1,13,4,1,0
5915,3,7,1,12,1,4,1,11,2,10,0
5916,3,1,4,8,3,6,2,13,1,6,1
5917,1,8,4,4,3,3,3,2,1,7,0
5918,4,3,1,9,2,2,1,6,2,7,0
5919,2,5,1,7,2,4,1,4,2,6,1
5920,3,2,1,12,4,1,3,9,2,1,1
5921,3,4,3,11,3,3,1,7,1,9,0
5922,4,8,2,4,1,13,3,3,3,10,0
5923,2,7,2,2,1,9,4,10,4,11,0
5924,2,1,1,10,2,2,3,10,3,1,2
5925,3,2,2,1,4,6,1,11,3,5,0
5926,2,8,1,8,2,3,4,5,2,4,1
5927,2,2,3,5,4,11,3,4,2,5,1
5928,3,13,3,9,2,13,3,5,3,1,1
5929,4,9,3,1,4,13,3,5,2,8,0
5930,2,13,3,8,4,12,3,7,1,12,1
5931,2,5,4,12,4,6,2,4,1,10,0
5932,4,12,2,2,4,6,4,2,3,7,1
5933,2,4,4,7,3,10,1,1,3,2,0
5934,2,1,3,9,1,8,3,11,2,3,0
5935,4,4,3,11,1,10,4,5,3,12,0
5936,1,13,3,5,3,10,2,13,2,1,1
5937,1,2,2,9,2,10,1,13,4,3,0
5938,4,5,4,2,2,10,3,3,2,12,0
5939,3,9,4,2,3,3,1,8,1,3,1
5940,2,6,1,12,1,10,2,2,2,7,0
5941,2,10,3,4,1,10,3,3,2,7,1
5942,4,5,4,13,2,2,3,7,3,10,0
5943,4,12,1,7,3,8,1,5,1,10,0
5944,3,13,1,11,1,12,3,3,1,6,0
5945,2,3,4,5,1,7,3,10,3,12,0
5946,4,13,1,3,3,13,3,12,3,3,2
5947,4,10,1,9,3,2,4,6,2,7,0
5948,1,10,2,1,3,3,1,11,4,1,1
5949,4,8,1,3,4,13,4,7,3,5,0
5950,2,3,4,8,4,3,2,6,1,3,3
5951,4,9,4,3,1,7,1,11,3,6,0
5952,2,5,1,8,2,10,4,9,4,4,0
5953,3,4,1,10,3,1,2,11,4,5,0
5954,4,7,3,7,1,11,2,5,2,12,1
5955,4,1,2,13,4,8,2,1,1,3,1
5956,2,11,4,2,3,7,4,11,3,10,1
5957,3,13,1,6,4,10,4,4,2,12,0
5958,2,13,3,6,3,4,3,5,3,3,0
5959,2,7,3,4,4,10,3,1,4,4,1
5960,4,9,2,10,2,7,3,11,3,4,0
5961,4,13,4,10,1,11,2,6,2,11,1
5962,1,8,1,11,4,10,4,3,2,9,0
5963,3,10,3,3,1,8,2,3,1,4,1
5964,4,5,3,7,2,2,3,3,1,8,0
5965,4,12,4,3,3,11,2,5,4,7,0
5966,3,9,4,1,1,8,4,4,2,9,1
5967,4,7,3,9,2,2,4,5,1,2,1
5968,1,2,3,10,3,3,4,9,4,11,0
5969,1,6,3,5,2,13,2,12,3,8,0
5970,3,9,2,9,4,9,3,2,4,6,3
5971,1,4,4,1,3,6,3,4,4,3,1
5972,1,2,2,3,2,11,1,13,3,11,1
5973,3,8,1,7,4,13,2,2,1,10,0
5974,4,1,4,3,1,7,1,1,3,3,2
5975,2,4,3,1,4,9,3,13,4,3,0
5976,2,8,3,1,2,11,3,4,3,3,0
5977,4,13,1,6,3,8,4,9,4,12,0
5978,3,3,4,8,4,2,3,10,1,13,0
5979,1,10,4,8,4,10,4,1,2,6,1
5980,3,5,2,2,4,8,1,2,1,10,1
5981,1,6,2,6,1,2,1,4,2,1,1
5982,1,9,1,4,1,12,2,12,1,2,1
5983,3,5,3,7,3,3,3,1,4,9,0
5984,1,10,4,12,2,12,4,9,2,1,1
5985,3,2,1,11,3,6,1,9,4,9,1
5986,4,6,4,9,1,11,1,5,1,8,0
5987,2,8,3,8,4,9,2,3,1,9,2
5988,2,8,4,3,4,1,4,4,3,8,1
5989,2,3,4,10,1,10,2,12,3,6,1
5990,2,9,2,12,4,6,3,7,2,3,0
5991,2,3,2,12,4,10,1,3,2,11,1
5992,3,11,1,8,4,11,1,3,1,9,1
5993,4,5,1,1,2,13,4,3,3,10,0
5994,4,13,2,10,3,13,1,11,1,7,1
5995,2,13,3,1,2,3,4,6,3,3,1
5996,4,1,1,12,3,4,4,12,2,1,2
5997,2,5,1,10,4,11,4,5,4,6,1
5998,1,10,4,3,3,8,2,12,4,5,0
5999,3,11,4,2,3,1,3,13,1,1,1
6000,4,10,4,11,1,3,1,1,4,1,1
6001,4,3,2,13,3,11,2,1,4,9,0
6002,3,6,2,3,3,8,2,6,3,1,1
6003,1,6,3,6,4,3,2,5,2,4,1
6004,1,13,1,4,3,10,3,12,1,5,0
6005,4,13,2,9,2,6,4,10,4,11,0
6006,1,9,3,8,1,11,3,2,2,6,0
6007,3,8,3,2,3,10,3,13,1,2,1
6008,3,1,4,6,1,12,4,2,3,6,1
6009,3,10,2,11,3,5,4,12,4,8,0
6010,1,10,2,11,4,7,1,2,1,13,0
6011,2,2,4,9,1,4,4,4,1,2,2
6012,4,8,3,12,4,1,1,6,3,5,0
6013,2,11,4,5,3,5,2,9,3,12,1
6014,2,8,1,4,3,6,1,11,4,8,1
6015,3,13,3,5,3,10,1,11,1,9,0
6016,2,7,4,10,2,2,4,5,2,10,1
6017,1,3,1,13,3,8,1,1,2,10,0
6018,1,13,2,2,1,11,1,10,4,1,0
6019,1,10,1,9,1,7,3,11,3,8,4
6020,2,5,3,9,3,10,2,12,4,6,0
6021,1,12,4,7,2,11,4,11,3,5,1
6022,2,3,3,8,3,13,2,7,2,9,0
6023,3,5,4,11,1,11,3,11,4,10,3
6024,1,8,4,11,1,5,1,7,4,10,0
6025,2,13,4,8,3,9,3,11,1,10,0
6026,1,12,1,8,3,3,4,11,2,11,1
6027,4,10,2,12,3,2,3,9,4,2,1
6028,2,7,2,12,4,5,4,2,4,6,0
6029,4,13,2,9,2,1,4,8,2,6,0
6030,2,5,2,9,1,1,4,10,4,8,0
6031,1,11,3,4,3,5,3,11,2,7,1
6032,1,2,3,5,4,8,4,11,3,8,1
6033,4,4,1,11,1,7,3,8,4,13,0
6034,4,7,1,5,1,3,1,7,3,7,3
6035,2,11,2,13,4,8,2,4,4,13,1
6036,1,10,1,7,2,13,1,13,1,9,1
6037,4,6,2,9,3,8,4,7,1,5,4
6038,2,2,1,9,4,4,3,1,2,5,0
6039,2,12,4,4,2,2,1,8,4,5,0
6040,2,5,4,2,2,3,2,1,3,2,1
6041,1,5,1,7,3,3,2,1,2,9,0
6042,2,8,2,11,1,2,4,11,1,6,1
6043,3,9,1,4,3,3,2,11,1,7,0
6044,1,9,3,5,2,10,4,11,3,7,0
6045,2,11,2,1,3,6,2,12,1,9,0
6046,1,4,4,2,3,1,2,3,4,9,0
6047,4,2,3,12,4,4,2,10,4,9,0
6048,3,8,1,8,4,10,4,3,1,7,1
6049,1,1,4,7,1,3,1,10,1,5,0
6050,1,4,4,4,1,5,2,4,3,6,3
6051,3,6,4,11,1,10,3,10,4,3,1
6052,2,13,1,5,2,12,4,3,1,1,0
6053,2,3,4,1,3,2,1,3,2,12,1
6054,2,9,3,2,1,10,1,4,2,11,0
6055,4,2,3,5,2,2,1,7,3,6,1
6056,3,11,3,13,2,7,2,12,3,9,0
6057,2,3,4,7,1,5,1,13,4,1,0
6058,3,9,1,4,1,12,2,7,3,1,0
6059,3,11,3,5,4,2,1,5,1,4,1
6060,1,13,4,11,2,8,2,5,1,10,0
6061,2,5,3,6,3,9,4,10,3,2,0
6062,4,3,3,13,4,10,1,12,4,2,0
6063,2,5,2,11,2,8,1,1,2,12,0
6064,3,12,3,2,2,9,4,9,2,2,2
6065,1,10,4,10,2,8,4,8,4,13,2
6066,2,6,2,9,3,1,4,13,2,13,1
6067,2,6,4,10,2,11,1,13,1,9,0
6068,1,1,2,5,3,4,4,7,4,9,0
6069,2,13,3,13,1,10,2,1,1,11,1
6070,2,10,3,5,3,10,1,6,2,7,1
6071,2,7,4,8,2,11,1,12,3,12,1
6072,3,2,3,1,1,5,1,4,2,7,0
6073,1,7,2,11,3,7,3,4,1,8,1
6074,2,6,3,10,1,8,4,12,3,6,1
6075,2,6,3,11,3,10,4,8,2,7,0
6076,2,8,1,7,1,12,3,8,1,10,1
6077,2,7,1,5,1,3,2,13,4,9,0
6078,2,13,3,8,4,8,1,10,1,2,1
6079,1,9,4,7,3,5,3,9,1,8,1
6080,1,8,2,12,1,2,4,13,1,5,0
6081,3,3,4,11,3,7,1,10,2,4,0
6082,1,1,3,13,3,3,2,6,1,5,0
6083,3,7,2,2,3,1,2,1,1,2,2
6084,4,11,1,2,2,13,1,7,2,9,0
6085,1,8,1,2,2,6,2,11,3,1,0
6086,1,10,1,4,3,10,3,13,3,6,1
6087,2,13,4,8,4,12,1,8,1,11,1
6088,1,13,1,8,1,5,3,10,4,6,0
6089,4,4,2,7,3,10,4,8,4,13,0
6090,4,2,4,13,3,8,1,6,3,6,1
6091,1,6,2,6,4,3,1,9,3,10,1
6092,4,1,3,7,3,12,2,12,1,2,1
6093,3,2,2,13,1,6,1,8,4,9,0
6094,2,11,3,4,3,3,1,11,1,13,1
6095,1,4,4,1,2,1,1,10,4,11,1
6096,4,6,3,2,3,8,1,4,2,6,1
6097,1,10,1,2,3,9,4,8,4,3,0
6098,3,4,4,9,1,8,3,10,3,8,1
6099,3,4,4,12,4,1,2,4,1,13,1
6100,4,1,4,2,4,3,1,13,3,13,1
6101,4,6,3,10,2,6,1,10,1,11,2
6102,1,9,3,5,4,9,1,11,1,4,1
6103,4,12,1,9,1,6,2,7,4,3,0
6104,1,8,1,9,3,8,2,1,1,10,1
6105,1,2,4,13,2,13,1,13,3,7,3
6106,4,6,4,10,1,4,4,4,3,8,1
6107,4,5,2,12,3,9,4,9,3,4,1
6108,2,13,4,11,3,11,4,2,3,10,1
6109,2,1,2,7,4,11,3,7,3,1,2
6110,1,4,3,8,1,6,1,7,4,5,4
6111,2,9,4,6,4,8,2,7,2,12,0
6112,2,9,2,13,4,13,3,6,4,5,1
6113,1,6,2,8,4,8,1,5,3,4,1
6114,2,11,1,12,2,6,3,6,4,2,1
6115,4,3,4,4,2,4,1,2,4,1,1
6116,3,10,4,2,1,8,2,2,3,8,2
6117,1,8,4,5,3,10,3,6,1,11,0
6118,1,12,4,1,4,13,1,7,4,3,0
6119,2,5,1,11,2,7,4,1,1,5,1
6120,4,13,3,9,1,4,2,3,4,9,1
6121,4,11,1,3,4,6,3,9,1,13,0
6122,3,13,3,12,3,9,1,5,2,5,1
6123,4,7,3,7,1,7,2,11,4,8,3
6124,2,4,3,13,2,12,3,7,2,8,0
6125,3,2,3,1,3,10,3,13,1,9,0
6126,2,3,1,4,2,11,3,1,3,9,0
6127,2,7,3,13,3,11,4,6,2,1,0
6128,3,9,1,8,2,2,3,8,2,9,2
6129,2,9,4,13,3,5,4,1,1,7,0
6130,3,10,2,5,1,8,1,1,4,2,0
6131,2,8,4,12,4,13,3,2,3,10,0
6132,2,7,4,8,1,12,3,1,3,6,0
6133,3,12,1,12,3,5,3,13,2,2,1
6134,1,8,2,9,1,3,3,2,3,7,0
6135,4,8,1,1,3,1,1,7,3,8,2
6136,3,8,3,3,3,6,4,9,4,3,1
6137,2,6,2,9,2,8,4,9,1,5,1
6138,2,8,1,4,3,3,3,10,2,7,0
6139,1,9,3,3,2,8,1,1,3,6,0
6140,1,13,4,7,3,4,3,3,1,1,0
6141,4,13,4,4,2,6,1,5,4,7,0
6142,2,7,2,1,4,6,1,1,3,4,1
6143,1,1,2,5,4,8,2,8,4,13,1
6144,2,6,3,9,4,3,4,9,4,11,1
6145,2,9,2,1,4,1,2,2,4,4,1
6146,2,7,2,12,1,2,3,1,2,10,0
6147,1,8,3,9,3,6,2,1,2,12,0
6148,3,5,4,6,1,6,3,12,4,1,1
6149,2,11,4,9,3,4,1,7,2,10,0
6150,2,2,3,6,2,7,4,6,3,3,1
6151,4,11,4,4,4,3,1,1,1,6,0
6152,3,9,3,1,4,6,4,13,2,1,1
6153,4,6,3,6,3,4,4,11,3,7,1
6154,2,4,1,9,4,10,3,2,2,2,1
6155,2,5,4,2,1,6,2,6,1,2,2
6156,1,7,3,12,2,7,3,9,4,7,3
6157,1,4,3,13,2,7,4,2,2,8,0
6158,2,12,1,1,3,3,2,9,1,5,0
6159,2,5,3,2,3,5,4,3,2,3,2
6160,4,3,3,7,3,4,4,11,4,7,1
6161,3,12,3,2,2,9,1,6,2,12,1
6162,3,2,2,9,3,5,1,7,3,8,0
6163,3,7,3,11,4,13,2,10,4,10,1
6164,3,12,2,5,1,3,2,4,3,5,1
6165,3,7,4,9,2,3,4,1,4,10,0
6166,1,10,4,5,1,1,2,11,4,3,0
6167,4,4,3,8,1,8,1,11,2,7,1
6168,4,10,2,4,2,10,1,12,1,6,1
6169,4,8,3,3,1,1,3,9,3,6,0
6170,1,5,4,11,1,9,4,1,4,9,1
6171,4,9,2,7,3,4,2,4,1,9,2
6172,2,6,1,3,3,11,3,8,2,3,1
6173,1,7,4,7,2,5,4,6,1,11,1
6174,1,10,3,3,2,4,3,13,1,5,0
6175,3,2,4,8,1,3,2,12,2,4,0
6176,2,7,1,10,1,4,1,12,4,5,0
6177,2,11,4,7,3,11,2,12,4,11,3
6178,2,12,4,1,1,5,4,6,4,9,0
6179,2,2,2,1,1,8,4,7,3,5,0
6180,3,1,1,6,1,7,2,8,1,12,0
6181,1,1,3,13,4,9,2,5,2,6,0
6182,1,13,1,7,2,11,2,2,1,3,0
6183,1,2,4,12,1,1,2,4,3,9,0
6184,2,4,3,13,3,8,2,8,1,8,3
6185,4,13,1,3,2,6,2,12,1,9,0
